DATADECADASTRO;QTDE
2021-07-25;1
2021-08-02;1
2021-08-04;2
2021-08-12;1
2021-08-18;2
2021-08-25;1
2021-09-13;2
2021-09-14;3
2021-09-17;1
2021-09-22;1
2021-09-23;1
2021-09-27;3
2021-09-28;1
2021-10-04;1
2021-10-05;2
2021-10-14;1
2021-10-18;1
2021-10-19;3
2021-10-20;2
2021-10-27;2
2021-10-28;1
2021-10-29;1
2021-11-03;1
2021-11-09;1
2021-11-10;1
2021-11-16;1
2021-11-18;1
2021-11-24;3
2021-11-26;1
2021-12-01;2
2021-12-07;1
2021-12-13;2
2021-12-16;2
2021-12-20;1
2022-01-10;1
2022-01-12;3
2022-01-21;1
2022-01-26;1
2022-01-27;1
2022-01-28;1
2022-01-30;1
2022-01-31;1
2022-02-04;1
2022-02-14;1
2022-02-16;1
2022-02-21;1
2022-02-28;1
2022-03-07;1
2022-03-09;2
2022-03-10;1
2022-03-15;1
2022-03-16;1
2022-03-17;1
2022-03-18;1
2022-03-21;1
2022-03-25;2
2022-03-28;2
2022-04-05;1
2022-04-06;1
2022-04-08;1
2022-04-12;1
2022-04-18;1
2022-04-25;1
2022-05-03;2
2022-05-05;1
2022-05-11;4
2022-05-13;1
2022-05-16;2
2022-05-20;1
2022-05-26;1
2022-05-31;1
2022-06-01;3
2022-06-06;1
2022-06-07;1
2022-06-09;2
2022-06-22;1
